customer_id,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract_type,paperless_billing,payment_method,monthly_charges,total_charges,churned
CUST000000,0,0,1,52,1,0,Fiber optic,0,0,0,1,1,0,Two year,1,Bank transfer,130.13673192982398,6743.95284384315,0
CUST000001,0,0,0,15,1,1,No,0,0,0,0,0,0,Month-to-month,0,Bank transfer,49.101181484585496,695.4763165219103,0
CUST000002,0,0,0,72,1,0,Fiber optic,0,0,1,0,0,1,Month-to-month,0,Electronic check,117.71451094918646,8428.274924516389,0
CUST000003,0,1,1,61,1,0,Fiber optic,1,1,1,1,1,1,One year,0,Electronic check,154.28108205608376,9457.586175343995,0
CUST000004,0,1,0,21,1,1,Fiber optic,1,1,0,1,1,0,One year,1,Bank transfer,157.07229553671368,3325.4350659222714,0
CUST000005,0,0,0,24,1,0,Fiber optic,0,0,0,0,1,1,One year,1,Mailed check,143.89206991185804,3477.2797550895107,0
CUST000006,0,1,0,3,1,0,Fiber optic,1,0,1,0,1,0,Month-to-month,0,Electronic check,144.63241569472945,396.69879075706274,0
CUST000007,1,0,0,22,1,0,DSL,1,0,0,1,1,1,Month-to-month,1,Bank transfer,105.22000885481681,2341.9819608069843,0
CUST000008,0,0,0,53,0,0,Fiber optic,0,1,0,1,0,1,Two year,1,Mailed check,126.04706403876979,6632.293449324695,0
CUST000009,0,0,1,2,1,1,No,0,0,0,0,0,0,One year,1,Electronic check,56.75681598405133,69.7513572077361,0
CUST000010,0,1,0,30,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,1,Electronic check,102.88772701365193,3042.5261631328863,1
CUST000011,0,1,1,38,1,1,DSL,0,0,0,0,0,1,One year,1,Bank transfer,90.96080801119024,3431.1638813610143,0
CUST000012,0,1,0,2,1,1,No,0,0,0,0,0,0,Two year,1,Bank transfer,57.48405464578442,67.86292511579573,0
CUST000013,1,1,0,64,1,0,Fiber optic,0,1,0,1,0,0,Month-to-month,0,Bank transfer,140.77327630854597,9041.93341457144,0
CUST000014,0,1,0,60,1,1,Fiber optic,1,1,0,0,0,0,Two year,0,Electronic check,134.8510572706878,8099.04055086368,0
CUST000015,0,0,0,21,1,0,DSL,1,1,0,1,0,1,Two year,1,Bank transfer,107.39470080415126,2230.0514126665144,0
CUST000016,0,1,0,33,1,1,Fiber optic,0,1,1,0,0,0,Two year,1,Credit card,121.19229564240828,3983.0912128119944,0
CUST000017,1,0,1,58,1,1,No,0,0,0,0,0,0,Two year,1,Mailed check,51.50522396815964,3029.443029561793,0
CUST000018,1,0,0,22,1,0,DSL,0,0,0,0,0,0,Month-to-month,0,Electronic check,75.2571741152833,1679.7924351652894,1
CUST000019,1,0,0,49,1,1,DSL,1,0,1,1,1,1,Month-to-month,1,Bank transfer,128.09054698978528,6242.360107281739,0
CUST000020,0,0,0,59,1,1,Fiber optic,1,0,1,1,0,1,Month-to-month,1,Electronic check,153.77351731663532,9077.442279993485,1
CUST000021,0,1,0,42,1,1,DSL,0,0,1,0,1,0,Month-to-month,0,Electronic check,101.54705247187752,4215.646550410845,0
CUST000022,0,0,0,60,1,1,Fiber optic,1,1,1,0,1,1,Month-to-month,1,Electronic check,155.92880218521907,9359.77168699416,0
CUST000023,0,0,0,15,1,1,DSL,0,1,1,0,0,0,Month-to-month,0,Electronic check,101.71298962863207,1485.3968075492805,0
CUST000024,0,0,1,62,1,1,DSL,1,0,0,1,0,0,Month-to-month,1,Mailed check,82.81238472803979,5102.59938047358,0
CUST000025,0,1,0,62,1,1,No,0,0,0,0,0,0,Month-to-month,1,Electronic check,54.51102952251274,3425.0419787510727,0
CUST000026,0,1,0,47,1,0,Fiber optic,0,1,0,0,0,1,Month-to-month,1,Credit card,114.68283714152871,5383.589147348865,0
CUST000027,0,0,1,62,1,0,DSL,1,0,1,1,0,1,Two year,1,Mailed check,102.64330083773328,6337.095770181556,0
CUST000028,0,1,0,51,1,1,Fiber optic,0,1,0,0,0,0,Month-to-month,0,Bank transfer,123.29713939150058,6241.297365878014,0
CUST000029,1,1,0,55,1,1,DSL,0,1,1,0,0,1,One year,0,Mailed check,97.62247744328045,5380.867482484646,0
CUST000030,0,1,0,64,1,0,DSL,0,1,0,1,0,0,Month-to-month,0,Bank transfer,79.62868865677686,5061.5591952371715,0
CUST000031,1,0,0,3,0,0,Fiber optic,1,1,1,1,1,1,Month-to-month,1,Mailed check,133.05133759042778,369.0553799785246,1
CUST000032,0,0,1,51,1,0,Fiber optic,0,1,0,1,0,1,Two year,0,Bank transfer,126.6963386721246,6443.774297755164,0
CUST000033,0,1,0,7,1,0,No,0,0,0,0,0,0,Month-to-month,1,Credit card,53.88456486254313,425.3926228606561,0
CUST000034,1,1,0,21,1,0,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Bank transfer,114.89527394019184,2418.5437465963537,0
CUST000035,0,1,0,39,1,0,No,0,0,0,0,0,0,Month-to-month,1,Mailed check,48.16198181888428,1889.453652477303,0
CUST000036,0,1,0,18,1,0,No,0,0,0,0,0,0,Month-to-month,1,Bank transfer,44.95328091562984,847.6953547418011,1
CUST000037,0,1,1,4,1,0,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Mailed check,125.64877202482718,514.5619654971488,1
CUST000038,0,1,0,60,1,1,No,0,0,0,0,0,0,Month-to-month,0,Electronic check,52.01123711276273,3094.0254580368364,0
